time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/n_updates,train/loss,train/clip_range,train/learning_rate,train/std,train/clip_fraction,train/entropy_loss,train/value_loss,train/approx_kl,train/policy_gradient_loss
2048,5,373,1,,,,,,,,,,,
4096,11,353,2,-0.017611265182495117,10,28.212158203125,0.2,0.00025,0.9990085363388062,0.092626953125,-14.182841849327087,55.9774135351181,0.0098993955,-0.008154995286895428
2048,5,389,1,,,,,0.00025,,,,,,
4096,11,369,2,-0.009595751762390137,28,41.481990814208984,0.2,0.00025,1.0041346549987793,0.04873046875,-14.219726419448852,81.68408002853394,0.005943491,-0.006266379691078327
6144,17,355,3,-0.003179192543029785,38,67.05091857910156,0.2,0.00025,1.0056699514389038,0.0216796875,-14.237987619638442,118.26964955329895,0.004480648,-0.001778385638317559
8192,23,351,4,-0.001179814338684082,48,49.13396453857422,0.2,0.00025,1.0088739395141602,0.040966796875,-14.257074934244155,85.52074980735779,0.004870058,-0.004624819040327566
10240,29,346,5,0.023457646369934082,58,36.7625732421875,0.2,0.00025,1.0093438625335693,0.11806640625,-14.28051844239235,72.68145685195923,0.007828427,-0.007752104831160978
12288,35,347,6,0.02963024377822876,68,44.64113235473633,0.2,0.00025,1.0107240676879883,0.085888671875,-14.288814586400985,139.1985767841339,0.008273879,-0.003599563267198391
14336,41,342,7,0.04896610975265503,78,33.04202651977539,0.2,0.00025,1.0104044675827026,0.0447265625,-14.296487122774124,60.0868644952774,0.008145761,-0.0072324001754168424
16384,49,330,8,0.02401810884475708,88,79.47431945800781,0.2,0.00025,1.0119085311889648,0.097509765625,-14.299368822574616,164.40654582977294,0.009777553,-0.0091991834808141
18432,57,320,9,0.027888357639312744,98,156.04263305664062,0.2,0.00025,1.0141664743423462,0.065869140625,-14.316068077087403,306.1609196662903,0.00686946,-0.005926806014031172
20480,67,304,10,0.005470871925354004,108,130.91429138183594,0.2,0.00025,1.0153805017471313,0.02978515625,-14.33403284549713,238.02592887878419,0.006684919,-0.0028816132078645753
22528,75,297,11,0.01892697811126709,118,150.6350860595703,0.2,0.00025,1.0154564380645752,0.042138671875,-14.34216451048851,394.35895919799805,0.00794666,-0.005178478462039493
24576,83,293,12,0.010742366313934326,128,105.43199157714844,0.2,0.00025,1.016650676727295,0.047021484375,-14.346993488073348,311.127340221405,0.006786662,-0.005906177393626422
26624,90,293,13,0.03011608123779297,138,206.55795288085938,0.2,0.00025,1.0170749425888062,0.034375,-14.355268234014511,382.87953691482545,0.0075339014,-0.007478016018285416
28672,98,292,14,0.040544211864471436,148,158.04000854492188,0.2,0.00025,1.0179131031036377,0.0470703125,-14.362624859809875,306.79198026657104,0.008018098,-0.007476966726244427
30720,104,293,15,0.044626712799072266,158,136.34634399414062,0.2,0.00025,1.0191795825958252,0.05126953125,-14.369404792785645,225.6818103313446,0.008159714,-0.0049266916088527065
32768,111,293,16,0.028496980667114258,168,93.61705017089844,0.2,0.00025,1.0187795162200928,0.064208984375,-14.3760851085186,180.67710041999817,0.007119159,-0.007738284043443855
34816,118,292,17,0.05108386278152466,178,115.53797149658203,0.2,0.00025,1.0188510417938232,0.066064453125,-14.376747959852219,174.77288570404053,0.014058294,-0.009192110543517628
36864,126,292,18,0.07662063837051392,188,20.638710021972656,0.2,0.00025,1.0212689638137817,0.116455078125,-14.385946959257126,50.515455794334414,0.0142840445,-0.008221128756122197
38912,132,292,19,0.04797607660293579,198,24.563602447509766,0.2,0.00025,1.024828553199768,0.0970703125,-14.418592268228531,52.70389013290405,0.011475956,-0.009022115473635494
40960,141,290,20,0.003041505813598633,208,26.85804557800293,0.2,0.00025,1.0276529788970947,0.1369140625,-14.44583511352539,39.42718789577484,0.012763248,-0.009417880669934675
43008,149,288,21,0.045608699321746826,218,24.09720802307129,0.2,0.00025,1.0282999277114868,0.0876953125,-14.464667648077011,43.64696806669235,0.010076417,-0.009957421323633753
45056,156,288,22,0.011246681213378906,228,34.05173110961914,0.2,0.00025,1.0315334796905518,0.10634765625,-14.484071278572083,64.27484340667725,0.0104131475,-0.009012058709049597
47104,163,288,23,0.017408430576324463,238,26.986093521118164,0.2,0.00025,1.0290546417236328,0.08369140625,-14.487935662269592,69.27345199584961,0.009104935,-0.006405292704585008
49152,170,287,24,0.01551198959350586,248,44.664794921875,0.2,0.00025,1.0301640033721924,0.1060546875,-14.479022878408433,87.72345838546752,0.0102324495,-0.007456063598510809
51200,178,287,25,0.011560022830963135,258,46.166507720947266,0.2,0.00025,1.0307718515396118,0.081005859375,-14.487325298786164,126.24419465065003,0.008617673,-0.010128658931353129
